takeoff_name,telegram_group_name,telegram_group_link,exclude,notes,site_guide,elevation,takeoff_lon,takeoff_lat
Aberfoyle,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,358.43,-4.40283,56.18777
Abernant,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,290.48,-3.89551,51.76015
Abernethy,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,143.5,-3.32118,56.32487
Abington,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,NA,NA,NA,351.54,-3.67677,55.50938
Achnasheen,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,206.49,-5.13001,57.543075
Afton,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,NA,NA,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf,113.02,-1.47991,50.67099
Airways,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,TRUE,Tow site,NA,177.82,-1.749035,52.972635
Alcock Tarn,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,458.7,-3.00033,54.46255
Alva,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,358,-3.8059,56.161185
Alvie,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,480.93,-3.92057,57.160375
An Liathanach,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,426.06,-5.099635,57.56736
An Soutar,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,604.34,-4.89483,57.36645
An Teallach,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,NA,NA,NA,916.91,-5.2443,57.79052
Aonach Mor,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,NA,NA,NA,627.74,-4.97029,56.842215
Arenig Fawr,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,NA,NA,https://www.snowdoniaskysports.co.uk/cms/node/19,655.34,-3.7519,52.917230000000004
Arreton,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,NA,NA,NA,116.65,-1.2274,50.681125
Dragons Tail (Y Crib),South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,618.27,-3.1702,51.972375
Gordies Pike,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,598.81,-3.22876,54.516775
Gummers How,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,NA,NA,NA,297.05,-2.93962,54.28817
Lord Herefords Kno,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,NA,NA,NA,511.03,-3.12255,52.00996
